SCHOOL,LOCATION,INTERNATIONAL
,,
The New School,"New York, NY",30%
University of Rochester,"Rochester, NY",25%
New York University,"New York, NY",24%
Boston University,"Boston, MA",22%
Carnegie Mellon University,"Pittsburgh, PA",22%
Cardinal Stritch University,"Milwaukee, WI",21%
Brandeis University,"Waltham, MA",20%
Florida Institute of Technology,"Melbourne, FL",19%
Andrews University,"Berrien Springs, MI",18%
Emory University,"Atlanta, GA",17%
"University of California, Davis","Davis, CA",16%
"University of California, San Diego","La Jolla, CA",16%
University of Chicago,"Chicago, IL",16%
Illinois Institute of Technology,"Chicago, IL",15%
Northeastern University,"Boston, MA",15%
Oral Roberts University,"Tulsa, OK",15%
Rensselaer Polytechnic Institute,"Troy, NY",15%
Suffolk University,"Boston, MA",15%
"University of California, Irvine","Irvine, CA",15%
Georgetown University,"Washington, DC",14%
Johns Hopkins University,"Baltimore, MD",14%
Marymount University,"Arlington, VA",14%
Saint Leo University,"Saint Leo, FL",14%
University of Washington,"Seattle, WA",14%
Case Western Reserve University,"Cleveland, OH",13%
Syracuse University,"Syracuse, NY",13%
University at Buffalo--SUNY,"Buffalo, NY",13%
"University of California, Berkeley","Berkeley, CA",13%
University of Illinois Urbana-Champaign,"Champaign, IL",13%
University of Pennsylvania,"Philadelphia, PA",13%
Dartmouth College,"Hanover, NH",12%
Harvard University,"Cambridge, MA",12%
Princeton University,"Princeton, NJ",12%
Rice University,"Houston, TX",12%
University of Southern California,"Los Angeles, CA",12%
Brown University,"Providence, RI",11%
Georgia Institute of Technology,"Atlanta, GA",11%
Purdue University--West Lafayette,"West Lafayette, IN",11%
Stanford University,"Stanford, CA",11%
St. Thomas University,"Miami Gardens, FL",11%
Tufts University,"Medford, MA",11%
"University of California, Santa Barbara","Santa Barbara, CA",11%
University of Miami,"Coral Gables, FL",11%
University of San Francisco,"San Francisco, CA",11%
American University,"Washington, DC",10%
Cornell University,"Ithaca, NY",10%
Gannon University,"Erie, PA",10%
Loyola Marymount University,"Los Angeles, CA",10%
Massachusetts Institute of Technology,"Cambridge, MA",10%
Northwestern University,"Evanston, IL",10%
The Pennsylvania State University,"University Park, PA",10%
Stony Brook University--SUNY,"Stony Brook, NY",10%
Trevecca Nazarene University,"Nashville, TN",10%
"University of California, Los Angeles","Los Angeles, CA",10%
University of Wisconsin--Madison,"Madison, WI",10%
Vanderbilt University,"Nashville, TN",10%
Yale University,"New Haven, CT",10%
Drexel University,"Philadelphia, PA",9%
Duke University,"Durham, NC",9%
George Washington University,"Washington, DC",9%
Pepperdine University,"Malibu, CA",9%
Rutgers University--New Brunswick,"Piscataway, NJ",9%
Seattle University,"Seattle, WA",9%
University of Colorado Denver,"Denver, CO",9%
University of Oregon,"Eugene, OR",9%
Wake Forest University,"Winston-Salem, NC",9%
Yeshiva University,"New York, NY",9%
California Institute of Technology,"Pasadena, CA",8%
Clark University,"Worcester, MA",8%
Lehigh University,"Bethlehem, PA",8%
University of Connecticut,"Storrs, CT",8%
University of Michigan--Ann Arbor,"Ann Arbor, MI",8%
University of the Pacific,"Stockton, CA",8%
Walsh University,"North Canton, OH",8%
Briar Cliff University,"Sioux City, IA",7%
Florida International University,"Miami, FL",7%
Fordham University,"New York, NY",7%
Oakland City University,"Oakland City, IN",7%
The Ohio State University,"Columbus, OH",7%
Pace University,"New York, NY",7%
Rutgers University--Newark,"Newark, NJ",7%
San Francisco State University,"San Francisco, CA",7%
University of Charleston,"Charleston, WV",7%
University of Detroit Mercy,"Detroit, MI",7%
University of Illinois--Chicago,"Chicago, IL",7%
University of Indianapolis,"Indianapolis, IN",7%
University of Massachusetts--Amherst,"Amherst, MA",7%
University of South Florida,"Tampa, FL",7%
University of Tulsa,"Tulsa, OK",7%
Washington University in St. Louis,"St. Louis, MO",7%
Arizona State University,"Tempe, AZ",6%
Biola University,"La Mirada, CA",6%
California State University--Long Beach,"Long Beach, CA",6%
Carson-Newman University,"Jefferson City, TN",6%
Clarke University,"Dubuque, IA",6%
Dallas Baptist University,"Dallas, TX",6%
Harding University,"Searcy, AR",6%
Lincoln Memorial University,"Harrogate, TN",6%
Miami University--Oxford,"Oxford, OH",6%
Michigan State University,"East Lansing, MI",6%
Morgan State University,"Baltimore, MD",6%
New Jersey Institute of Technology,"Newark, NJ",6%
Oklahoma City University,"Oklahoma City, OK",6%
Robert Morris University,"Moon Township, PA",6%
Santa Clara University,"Santa Clara, CA",6%
"University of California, Merced","Merced, CA",6%
"University of California, Santa Cruz","Santa Cruz, CA",6%
University of Hartford,"West Hartford, CT",6%
University of Massachusetts--Boston,"Boston, MA",6%
"University of Minnesota, Twin Cities","Minneapolis, MN",6%
University of Notre Dame,"Notre Dame, IN",6%
University of San Diego,"San Diego, CA",6%
University of Toledo,"Toledo, OH",6%
University of Utah,"Salt Lake City, UT",6%
Western Michigan University,"Kalamazoo, MI",6%
Wilkes University,"Wilkes-Barre, PA",6%
Wingate University,"Wingate, NC",6%
Worcester Polytechnic Institute,"Worcester, MA",6%
Abilene Christian University,"Abilene, TX",5%
Alvernia University,"Reading, PA",5%
Arkansas State University,"State University, AR",5%
Brigham Young University--Provo,"Provo, UT",5%
California State University--San Bernardino,"San Bernardino, CA",5%
CUNY--City College,"New York, NY",5%
Gallaudet University,"Washington, DC",5%
George Mason University,"Fairfax, VA",5%
Indiana University--Bloomington,"Bloomington, IN",5%
Nova Southeastern University,"Ft. Lauderdale, FL",5%
Rochester Institute of Technology,"Rochester, NY",5%
San Diego State University,"San Diego, CA",5%
Seattle Pacific University,"Seattle, WA",5%
Texas Christian University,"Fort Worth, TX",5%
Tulane University,"New Orleans, LA",5%
University of Cincinnati,"Cincinnati, OH",5%
University of Delaware,"Newark, DE",5%
University of La Verne,"La Verne, CA",5%
University of Nebraska -- Lincoln,"Lincoln, NE",5%
University of Nebraska Omaha,"Omaha, NE",5%
University of North Carolina at Chapel Hill,"Chapel Hill, NC",5%
University of North Dakota,"Grand Forks, ND",5%
University of North Texas,"Denton, TX",5%
University of St. Thomas (TX),"Houston, TX",5%
Virginia Tech,"Blacksburg, VA",5%
Wichita State University,"Wichita, KS",5%
William & Mary,"Williamsburg, VA",5%