university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
Oberlin College,NA,0.11,342,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oberlin,OH,1751,8249
Occidental College,469,0.06,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,CA,8484,3976322
Oglethorpe University,133,0.1,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atlanta,GA,3549,472522
Ohio Wesleyan University,NA,0.07,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delaware,OH,2208,42814
Oklahoma City University,606,0.06,NA,32744,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526,NA,Oklahoma City,OK,1053,638367
Oral Roberts University,197,0.15,NA,NA,NA,NA,NA,private,Four-year (median),National,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tulsa,OK,2049,403090
Otis College of Art and Design,469,NA,241,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,CA,8484,3976322
Pace University,303,0.07,NA,48830,NA,NA,NA,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,7994,NA,New York,NY,28211,8537673
Pepperdine University,NA,0.09,NA,59702,highly competitive,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,3459,NA,Malibu,CA,540,10429
Pitzer College,NA,0.07,NA,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,2826,35703
Pomona College,NA,0.11,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,2826,35703
Principia College,NA,0.24,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elsah,IL,475,528
Randolph College,49,0.05,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lynchburg,VA,1633,80212
Rhode Island School of Design,18,NA,1077,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Providence,RI,9740,179219
Rhodes College,315,0.06,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memphis,TN,2072,652717
Ringling College of Art and Design,15,NA,346,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sarasota,FL,3862,56610
Robert Morris University,NA,0.06,NA,32770,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,3312,NA,Moon Township,PA,939,25480
Rose-Hulman Institute of Technology,35,NA,255,NA,most competitive,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terre Haute,IN,1762,60852
Saint Leo University,NA,0.14,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saint Leo,FL,2103,1634
San Francisco Conservatory of Music,47,NA,139,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,18581,870887
Santa Clara University,18,0.06,NA,55860,highly competitive,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,5608,NA,Santa Clara,CA,6841,125948
Sarah Lawrence College,NA,0.07,NA,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bronxville,NY,6848,6525
Savannah College of Art and Design,103,NA,4083,NA,NA,NA,NA,private,Four-year (large),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Savannah,GA,1423,146763
School of the Art Institute of Chicago,228,NA,1092,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chicago,IL,11883,2704958
Seattle Pacific University,84,0.05,NA,35646,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2702,NA,Seattle,WA,8391,704352
Skidmore College,NA,0.09,291,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saratoga Springs,NY,1029,28301
Soka University of America,7,0.49,221,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aliso Viejo,CA,6884,51424
St. Thomas University,18,0.11,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miami Gardens,FL,6202,113058
Suffolk University,48,0.15,1273,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Swarthmore College,NA,0.16,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swarthmore,PA,4724,6595
Sweet Briar College,NA,0.06,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sweet Briar,VA,321,598
Texas Christian University,340,0.05,NA,51660,highly competitive,NA,NA,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,9704,NA,Fort Worth,TX,2513,854113
The Juilliard School,303,NA,300,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
The King's College,303,0.06,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
The University of Tampa,113,NA,832,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tampa,FL,3326,377165
Thomas Aquinas College,NA,0.05,NA,NA,highly competitive plus,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Paula,CA,6812,30759
Trevecca Nazarene University,475,0.1,NA,26898,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2095,NA,Nashville,TN,1390,660388
Trinity College,17,0.13,338,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hartford,CT,7091,123243
Union College,11,0.1,228,NA,highly competitive,NA,NA,private,Four-year (small),Liberal Arts,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Schenectady,NY,6022,64913
University of Charleston,NA,0.07,NA,31400,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2115,NA,Charleston,WV,1535,48018
University of Detroit Mercy,139,0.07,NA,30154,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2633,NA,Detroit,MI,4849,672795
University of Indianapolis,361,0.07,NA,33520,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,4168,NA,Indianapolis,IN,2366,855164
University of La Verne,NA,0.05,NA,45850,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,2484,NA,La Verne,CA,3744,30680
University of New Haven,11,NA,1084,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Haven,CT,5071,54516
University of Richmond,NA,0.09,308,NA,most competitive,NA,NA,private,Four-year (median),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richmond,VA,3731,223170
University of the Ozarks,NA,NA,236,NA,NA,NA,NA,private,Four-year (small),NA,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clarksville,AR,542,9476
University of Western States,133,NA,188,NA,NA,NA,NA,private,Four-year (small),NA,Doctoral Universities,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Portland,OR,4795,639863
Vassar College,NA,0.08,242,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poughkeepsie,NY,6137,31850
Walsh University,NA,0.08,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Canton,OH,2788,17891
Wartburg College,NA,0.06,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waverly,IA,923,10398
Washington and Lee University,NA,0.05,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lexington,VA,2951,7456
Wellesley College,NA,0.14,384,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wellesley,MA,2980,28747
Wesleyan University,NA,0.11,339,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middletown,CT,1164,47108
Whitman College,NA,0.1,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Walla Walla,WA,2517,33927
Whittier College,15,0.07,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whittier,CA,5931,86883
Wilkes University,NA,0.06,NA,39914,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,2243,NA,Wilkes-Barre,PA,6473,44453
Williams College,NA,0.08,NA,NA,most competitive,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Williamstown,MA,92,4304
Wingate University,NA,0.06,NA,40170,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,2683,NA,Wingate,NC,1817,3907
Academy of Art University,47,NA,2747,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,18581,870887
Full Sail University,NA,NA,586,NA,NA,NA,NA,private,Four-year (large),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter Park,FL,3452,29131
Monroe College,10,NA,1094,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Rochelle,NY,7687,79557
Musicians Institute,NA,NA,312,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hollywood,CA,22193,34938
School of Visual Arts,303,NA,2435,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
Tulane University,169,0.05,1172,60814,NA,NA,401-500,private,NA,National,NA,NA,NA,M,6,Very High,NA,NA,NA,NA,NA,NA,7700,NA,New Orleans,LA,2311,391495
Washington University in St. Louis,62,0.07,3535,58866,NA,1-20,101-150,private,NA,National,NA,NA,NA,L,5,Very High,24.6,55,42.3,53.8,38.6,22.7,7653,NA,St. Louis,MO,5030,311404
Columbia University,303,NA,15015,63530,NA,1-20,1-20,private,NA,NA,NA,NA,NA,L,4,Very High,67.2,41.8,56.4,71.5,33.7,62.8,6170,NA,New York,NY,28211,8537673
ArtCenter College of Design,23,NA,1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pasadena,CA,6185,142059
Berkeley College - New York,303,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
Brigham Young University - Hawaii,NA,NA,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laie, Oahu",HI,4333,6071
Brigham Young University - Idaho,NA,NA,1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rexburg,ID,2937,35300
California State Polytechnic University - Pomona,23,NA,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pomona,CA,6645,152494
California State University - East Bay,45,NA,852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hayward,CA,3507,158937
California State University - Fullerton,22,NA,2232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fullerton,CA,6296,140721
California State University - Los Angeles,469,NA,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,CA,8484,3976322
California State University - Northridge,NA,NA,1611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northridge,CA,52295,70653
California State University - Sacramento,98,NA,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sacramento,CA,5058,495234
California State University - Long Beach,50,0.06,1480,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long Beach,CA,9348,470130
California State University - San Bernardino,59,0.05,572,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Bernardino,CA,3653,216239
Central Baptist Theological Seminary,42,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shawnee,KS,1558,65194
College of Wooster,NA,0.15,282,NA,very competitive plus,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wooster,OH,1601,26751
CUNY Baruch College,303,NA,1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
CUNY--City College,303,0.05,NA,19010,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12587,NA,New York,NY,28211,8537673
Embry-Riddle Aeronautical University - Daytona Beach,58,NA,1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daytona Beach,FL,1141,66645
Embry-Riddle Aeronautical University - Prescott,NA,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prescott,AZ,1019,46833
Florida National University,21,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hialeah,FL,11020,236387
Hobart and William Smith Colleges,NA,0.06,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geneva,NY,3022,12432
"Holy Cross College at Notre Dame, Indiana",NA,0.05,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notre Dame,IN,6333,6699
Houston Community College System,600,NA,3636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Houston,TX,3842,2303482
Miami University - Middletown,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middletown,OH,1951,50998
Miami University--Oxford,NA,0.06,NA,37379,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16522,NA,Oxford,OH,3000,22625
Miami-Dade College,36,NA,974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Miami,FL,12645,453579
Minnesota State University - Mankato,NA,NA,1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mankato,MN,2386,44693
New England Conservatory of Music,48,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
New York Institute of Technology - Old Westbury,NA,NA,1336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Old Westbury,NY,460,4219
Northeastern University - Boston,48,NA,15880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Northeastern University - Seattle,84,NA,968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seattle,WA,8391,704352
Ohio State University - Columbus,217,NA,6865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Columbus,OH,3960,860090
Ottawa University - Kansas City,75,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Overland Park,KS,2525,188966
Pennsylvania State University - Penn State Abington,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abington,PA,3603,55468
Pennsylvania State University - Penn State Harrisburg,NA,NA,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middletown,PA,4696,9587
Peralta Community College District,56,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oakland,CA,7528,420005
Perimeter College of Georgia State University,NA,NA,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clarkston,GA,7998,14538
Pratt Institute,NA,NA,2126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooklyn,NY,38634,2736074
Rutgers University--New Brunswick,NA,0.09,NA,33005,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35844,NA,Piscataway,NJ,2976,56923
San Mateo County Community College District,12,NA,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Mateo,CA,8570,103959
Southern Arkansas University - Magnolia,NA,NA,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnolia,AR,844,11105
St. Cloud State University - St. Cloud,NA,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saint Cloud,MN,1715,68818
St. Francis College,NA,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brooklyn Heights,NY,202493,64798
St. John's College (MD),NA,0.15,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annapolis,MD,5729,40687
St. John's College (NM),46,0.16,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santa Fe,NM,1824,83875
St. Lawrence University,NA,0.09,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canton,NY,106,7064
St. Olaf College,NA,0.1,327,NA,highly competitive plus,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northfield,MN,2465,20729
SUNY Fashion Institute of Technology,303,NA,841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,28211,8537673
The University of Texas Health Science Center - Houston,600,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Houston,TX,3842,2303482
Tufts University-  Boston Health Sciences Campus,48,NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
University of California - San Francisco,47,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Francisco,CA,18581,870887
"University of California, Merced",23,0.06,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merced,CA,3542,82594
University of Colorado/Anschutz Medical Campus,155,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aurora,CO,2338,361710
University of Illinois - Springfield,59,NA,733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Springfield,IL,1945,115715
University of Maine--Machias,NA,0.06,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Machias,ME,599,2072
University of Massachusetts Medical School,37,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Worcester,MA,4937,184508
University of Michigan - Dearborn,24,NA,1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dearborn,MI,3899,94444
University of St. Thomas (TX),600,0.05,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Houston,TX,3842,2303482
University of Texas - Arlington,96,NA,5065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arlington,TX,4096,392772
Virginia Tech,NA,0.05,NA,33253,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30020,NA,Blacksburg,VA,2300,44949
Wheaton College (MA),NA,0.05,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norton,MA,640,19948
