university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Vanderbilt University,32.8,50,50,31,23,30.3,15.2,28.6,53.4,35.3,15,56966,7057,Nashville,TN,0.1,National,NA,NA,NA,L,Private,Nashville,41.7,218,Very High,4473,3,2022,TN,1,NA,NA,NA,NA,Nashville,TN,15,17,2,5,11
Icahn School of Medicine at Mount Sinai,NA,101-150,101,47-58,25.8,40.6,0,0,41.2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,27,18,2,7,11
Florida International University,NA,401-500,401,118-139,6.6,9.6,0,0,32.1,17.3,163,18964,48664,Miami,FL,0.07,National,NA,NA,NA,XL,Public,Miami,NA,801-1000,High,2.221,16,3.5749999999999997,NA,NA,FL,Public,4-year,58836,Miami,FL,15,15,1,4,21
Yale University,50.7,12,12,10,53.4,44.9,47.1,49.7,58.7,35.7,5,59950,4703,New Haven,CT,0.1,National,NA,NA,NA,M,Private,New Haven,90.2,14,Very High,5391,2,2537,CT,1,NA,NA,NA,NA,New Haven,CT,15,17,2,6,12
University of North Carolina at Chapel Hill,37.9,30,30,22,30.2,45.9,8.8,23.4,64.7,34.4,NA,NA,NA,Chapel Hill,NC,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,1,NC,Public,4-year,30092,Chapel Hill,NC,15,17,1,5,13
Texas Tech University,NA,401-500,401,118-139,7,9.6,0,0,34.4,16.4,220,24092,33269,NA,NA,NA,NA,NA,NA,NA,XL,Public,Lubbock,NA,801-1000,High,1.772,19,2.1959999999999997,NA,NA,TX,Public,4-year,40322,Lubbock,TX,15,15,1,4,11
Massachusetts Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,55878,4361,Cambridge,MA,0.1,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,NA,NA,NA,NA,Cambridge,MA,15,17,2,6,12
Wake Forest University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,59770,5441,Winston-Salem,NC,0.09,National,NA,NA,NA,M,Private,Winston-Salem,26.9,429,Very High,2.276,4,805,NC,1,NA,NA,NA,NA,Winston-Salem,NC,16,14,2,5,12
William & Mary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,46467,6236,Williamsburg,VA,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Williamsburg,VA,16,14,1,4,23
University of Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,31120,29765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA,3,GA,Public,4-year,39147,Athens,GA,15,16,1,4,12
Lehigh University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,57470,5203,Bethlehem,PA,0.08,National,NA,NA,NA,M,Private,Bethlehem,NA,531-540,Very High,540,11,1.1520000000000001,PA,1,NA,NA,NA,NA,Bethlehem,PA,16,13,2,4,13
Northeastern University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,57592,15156,Boston,MA,0.15,National,NA,NA,NA,L,Private,Boston,31.9,342,Very High,1.7229999999999999,12,7.595,MA,3,NA,NA,NA,NA,Boston,MA,15,17,2,5,11
Pepperdine University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,59702,3459,Malibu,CA,0.09,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,3,NA,NA,NA,NA,Malibu,CA,17,14,2,6,21
Villanova University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,59900,7037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA,1,NA,NA,NA,NA,Villanova,PA,16,14,2,4,21
Rensselaer Polytechnic Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,58526,6283,Troy,NY,0.15,National,NA,NA,NA,M,Private,Troy,26.8,431,Very High,639,12,1.594,NY,1,NA,NA,NA,NA,Troy,NY,15,14,2,4,13
Santa Clara University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,55860,5608,Santa Clara,CA,0.06,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,3,NA,NA,NA,NA,Santa Clara,CA,17,14,2,5,12
Syracuse University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,57591,14479,Syracuse,NY,0.13,National,Syracuse,NY,5443,L,Private,Syracuse,NA,651-700,Very High,1.374,14,3.5709999999999997,NY,3,NA,NA,NA,NA,Syracuse,NY,15,17,2,5,12
George Washington University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,59870,11762,Washington,DC,0.09,National,NA,NA,NA,L,Private,Ashburn,31.1,355,Very High,2.0159999999999996,11,4.023999999999999,DC,1,NA,NA,NA,NA,Washington,DC,15,17,2,5,11
Worcester Polytechnic Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,55531,4892,Worcester,MA,0.06,National,NA,NA,NA,M,Private,Worcester,NA,751-800,Very High,432,14,837,MA,2,NA,NA,NA,NA,Worcester,MA,16,13,2,4,12
Fordham University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,55776,9399,New York,NY,0.07,National,NA,NA,NA,L,Private,New York City,NA,801-1000,High,1.123,13,1.982,NY,3,NA,NA,NA,NA,Bronx,NY,16,17,2,5,11
Baylor University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,50232,14399,NA,NA,NA,NA,NA,NA,NA,L,Private,Waco,NA,1001-1200,Very High,1294,13,777,TX,3,NA,NA,NA,NA,Waco,TX,15,16,2,4,12
Clemson University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,37712,20868,NA,NA,NA,NA,NA,NA,NA,L,Public,Clemson,NA,801-1000,Very High,1.558,15,1.418,SC,3,NA,NA,NA,NA,Clemson,SC,15,16,1,4,21
Loyola Marymount University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,53051,6673,Los Angeles,CA,0.1,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,CA,16,14,2,5,11
American University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,51334,7953,Washington,DC,0.1,National,NA,NA,NA,M,Private,Washington D.C.,NA,651-700,High,1.091,11,1.305,DC,2,NA,NA,NA,NA,Washington,DC,16,17,2,5,11
Gonzaga University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,48470,4852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WA,3,NA,NA,NA,NA,Spokane,WA,17,14,2,4,12
Colorado School of Mines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,39800,5216,NA,NA,NA,NA,NA,NA,NA,M,Public,Golden,25.4,461,Very High,544,11,627,CO,3,NA,NA,NA,NA,Golden,CO,15,13,1,4,21
Elon University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,38725,6291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,3,NA,NA,NA,NA,Elon,NC,17,14,2,4,22
Howard University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,28916,7857,NA,NA,NA,NA,NA,NA,NA,M,Private,Washington D.C.,NA,651-700,High,1.111,8,531,NA,NA,NA,NA,NA,NA,Washington,DC,16,17,2,5,11
Marquette University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,45766,8024,NA,NA,NA,NA,NA,NA,NA,M,Private,Milwaukee,NA,1001-1200,Very High,913,12,367,WI,3,NA,NA,NA,NA,Milwaukee,WI,16,17,2,5,11
Stevens Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,56920,3670,NA,NA,NA,NA,NA,NA,NA,M,Private,Hoboken,NA,701-750,Very High,315,20,1.9189999999999998,NJ,3,NA,NA,NA,NA,Hoboken,NJ,16,13,2,5,21
Texas Christian University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51660,9704,Fort Worth,TX,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX,3,NA,NA,NA,NA,Fort Worth,TX,16,17,2,4,11
University of Denver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,54819,5699,NA,NA,NA,NA,NA,NA,NA,M,Private,Denver,NA,751-800,Very High,1,10,599,CO,4,NA,NA,NA,NA,Denver,CO,15,16,2,5,11
University of San Diego,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,52864,5529,San Diego,CA,0.06,National,NA,NA,NA,M,Private,San Diego,NA,1001-1200,High,647,12,638,CA,3,NA,NA,NA,NA,San Diego,CA,16,13,2,5,11
Auburn University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,31956,24505,NA,NA,NA,NA,NA,NA,NA,L,Public,Auburn,NA,801-1000,Very High,1.507,18,2.2830000000000004,NA,NA,AL,Public,4-year,30737,Auburn,AL,15,15,1,4,13
University of Colorado Boulder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,38312,30300,NA,NA,NA,NA,NA,NA,NA,XL,Public,Boulder,38.5,251,Very High,2946,11,2441,NA,NA,CO,Public,4-year,37437,Boulder,CO,15,16,1,4,12
Clark University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,50302,2241,Worcester,MA,0.08,National,NA,NA,NA,S,Private,Worcester,NA,601-650,Very High,276,12,853,MA,3,NA,NA,NA,NA,Worcester,MA,16,14,2,5,12
Creighton University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,44524,4458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,4,NA,NA,NA,NA,Omaha,NE,16,14,2,5,11
Loyola University Chicago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,47498,11612,NA,NA,NA,NA,NA,NA,NA,L,Private,Chicago,NA,801-1000,High,1.297,12,726,IL,3,NA,NA,NA,NA,Chicago,IL,16,16,2,5,11
New Jersey Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,33386,9084,Newark,NJ,0.06,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Newark,NJ,15,12,1,4,11
University of San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,53472,5852,San Francisco,CA,0.11,National,NA,NA,NA,M,Private,San Francisco,NA,1001-1200,High,696,14,1419,NA,NA,NA,NA,NA,NA,San Francisco,CA,17,13,2,5,11
Rochester Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,52756,13412,Rochester,NY,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,4,NA,NA,NA,NA,Rochester,NY,16,17,2,4,21
SUNY College of Environmental Science and Forestry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,19976,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Syracuse,NY,16,10,1,4,12
Chapman University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,57214,7404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,3,NA,NA,NA,NA,Orange,CA,16,14,2,4,12
Illinois Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,50640,3123,Chicago,IL,0.15,National,NA,NA,NA,M,Private,Chicago,26.2,444,Very High,402,15,2.3299999999999996,IL,2,NA,NA,NA,NA,Chicago,IL,16,14,2,5,11
Clarkson University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,54370,2905,NA,NA,NA,NA,NA,NA,NA,S,Private,Potsdam,NA,751-800,Very High,291,14,384,NA,NA,NA,NA,NA,NA,Potsdam,NY,16,14,2,4,33
DePaul University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,42012,14145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chicago,IL,16,15,2,5,11
Gallaudet University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,17112,1019,Washington,DC,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Washington,DC,17,11,2,5,11
Seattle University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,49335,4299,Seattle,WA,0.09,National,NA,NA,NA,M,Private,Seattle,NA,801-1000,High,601,11,702,NA,NA,NA,NA,NA,NA,Seattle,WA,17,14,2,5,11
Seton Hall University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,46880,5913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Orange,NJ,16,13,2,5,21
University of Dayton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,44890,8644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dayton,OH,16,17,2,4,12
The Catholic University of America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,52156,3055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Washington,DC,16,14,2,5,11
Drake University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,45962,2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IA,4,NA,NA,NA,NA,Des Moines,IA,17,14,2,5,12
The New School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,52979,6430,New York,NY,0.3,National,NA,NA,NA,M,Private,New York,NA,561-570,Very High,1.087,9,3.5989999999999998,NY,2,NA,NA,NA,NA,New York,NY,16,13,2,5,11
Samford University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,35360,3576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Birmingham,AL,17,14,2,5,21
Simmons University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,43112,1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,17,14,2,6,11
University of La Verne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,45850,2484,La Verne,CA,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,La Verne,CA,17,12,2,5,21
University of the Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,52352,3524,Stockton,CA,0.08,National,NA,NA,NA,M,Private,Stockton,NA,1001-1200,High,560,10,389,CA,4,NA,NA,NA,NA,Stockton,CA,17,14,2,5,11
University of Tulsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,44838,2929,Tulsa,OK,0.07,National,NA,NA,NA,S,Private,Tulsa,NA,801-1000,Very High,376,11,550,OK,3,NA,NA,NA,NA,Tulsa,OK,16,14,2,4,11
Duquesne University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,43526,5383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pittsburgh,PA,16,14,2,5,11
Michigan Technological University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,38112,5642,NA,NA,NA,NA,NA,NA,NA,M,Public,Houghton,NA,651-700,Very High,562,12,694,NA,NA,NA,NA,NA,NA,Houghton,MI,16,14,1,4,33
Quinnipiac University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,51270,6841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CT,3,NA,NA,NA,NA,Hamden,CT,17,14,2,4,21
San Diego State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,20016,31086,San Diego,CA,0.05,National,NA,NA,NA,XL,Public,San Diego,NA,1001-1200,Very High,1262,25,2092,NA,NA,CA,Public,4-year,36334,San Diego,CA,16,15,1,4,11
University of Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,25876,16179,NA,NA,NA,NA,NA,NA,NA,L,Public,Oxford,NA,801-1000,Very High,2.017,10,628,NA,NA,NA,NA,NA,NA,University,MS,15,16,1,4,33
Belmont University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,38430,6626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nashville,TN,17,14,2,4,11
Hofstra University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,51360,6120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hempstead,NY,17,14,2,5,21
Mercer University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,38746,4911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macon,GA,16,14,2,5,12
University of Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,26390,22825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fayetteville,AR,15,16,1,4,13
University of Rhode Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,33354,14073,NA,NA,NA,NA,NA,NA,NA,L,Public,Kingston,NA,1001-1200,High,910,17,417,NA,NA,NA,NA,NA,NA,Kingston,RI,16,16,1,4,21
Adelphi University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,42475,5124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Garden City,NY,17,12,2,5,21
Chatham University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,40877,1358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pittsburgh,PA,17,11,2,5,11
Valparaiso University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,44796,2723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Valparaiso,IN,17,11,2,4,21
Missouri University of Science and Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,31286,6086,NA,NA,NA,NA,NA,NA,NA,M,Public,Rolla,NA,511-520,Very High,369,18,557,MO,4,NA,NA,NA,NA,Rolla,MO,16,13,1,4,33
Montclair State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,21417,16374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Montclair,NJ,16,16,1,4,21
Rowan University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,23409,15963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glassboro,NJ,16,16,1,4,21
University of Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,27576,8366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moscow,ID,16,13,1,4,32
Pacific University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,50070,1758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest Grove,OR,17,14,2,6,21
Robert Morris University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,32770,3312,Moon Township,PA,0.06,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moon Township,PA,17,14,2,3,21
Union University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,35660,2096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jackson,TN,17,11,2,5,13
University of Detroit Mercy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,30154,2633,Detroit,MI,0.07,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Detroit,MI,17,13,2,5,11
University of Louisville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,28508,15927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Louisville,KY,15,15,1,5,11
University of Saint Joseph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,42934,898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Hartford,CT,18,10,2,6,21
Biola University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,44382,3682,La Mirada,CA,0.06,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,La Mirada,CA,17,14,2,5,21
Towson University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,22532,18730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Towson,MD,18,16,1,3,13
Ball State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,27406,15780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Muncie,IN,16,16,1,4,13
Bellarmine University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,44520,2484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Louisville,KY,17,10,2,4,11
Florida Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,43246,3475,Melbourne,FL,0.19,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melbourne,FL,16,14,2,5,13
Hampton University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,29287,3063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hampton,VA,17,14,2,4,12
Illinois State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,26281,17987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal,IL,16,16,1,3,22
Loyola University New Orleans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,43498,3219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LA,3,NA,NA,NA,NA,New Orleans,LA,17,13,2,4,11
Misericordia University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,35940,1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dallas,PA,17,10,2,4,21
Sacred Heart University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,45230,6417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fairfield,CT,17,14,2,4,21
East Carolina University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,23593,23056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,Public,4-year,28798,Greenville,NC,16,16,1,4,13
