university,city,state,international_students_natlib,international_students_opendoors,international_students_qs,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,type3_natlib,size_qs,type1_qs,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,selectivity,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Northern Virginia Community College,Annandale,VA,NA,1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2-year,52873,2,5,1,1,21
Northwest Missouri State University,Maryville,MO,NA,808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,1,4,33
Nova Southeastern University,Ft. Lauderdale,FL,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,34570,6314,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,2,6,21
Oakland City University,Oakland City,IN,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,8,2,4,32
Oakland Community College,Royal Oak,MI,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,21
Oberlin College,Oberlin,OH,0.11,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,3,31
Occidental College,Los Angeles,CA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,11
Oglethorpe University,Atlanta,GA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,2,21
Ohio State University - Columbus,Columbus,OH,NA,6865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio Wesleyan University,Delaware,OH,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,2,21
Oklahoma City University,Oklahoma City,OK,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,32744,1526,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,2,5,11
Oral Roberts University,Tulsa,OK,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,14,2,4,11
Orange Coast College,Costa Mesa,CA,NA,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,12
Otis College of Art and Design,Los Angeles,CA,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,2,3,11
Ottawa University - Kansas City,Overland Park,KS,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pace University,New York,NY,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,48830,7994,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,16,2,5,11
Pasadena City College,Pasadena,CA,NA,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,12
Pennsylvania State University - Penn State Abington,Abington,PA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania State University - Penn State Harrisburg,Middletown,PA,NA,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pepperdine University,Malibu,CA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,59702,3459,National,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,17,14,2,6,21
Peralta Community College District,Oakland,CA,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perimeter College of Georgia State University,Clarkston,GA,NA,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitzer College,Claremont,CA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,8,2,2,21
Pomona College,Claremont,CA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
Portland Community College,Portland,OR,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,1,11
Pratt Institute,Brooklyn,NY,NA,2126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Principia College,Elsah,IL,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,2,41
Randolph College,Lynchburg,VA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,4,13
Rhode Island School of Design,Providence,RI,NA,1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,2,4,12
Rhodes College,Memphis,TN,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,3,11
Ringling College of Art and Design,Sarasota,FL,NA,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,11,2,2,13
Robert Morris University,Moon Township,PA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,32770,3312,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,3,21
Rose-Hulman Institute of Technology,Terre Haute,IN,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,28,11,2,3,13
Rutgers University--New Brunswick,Piscataway,NJ,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,33005,35844,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Leo University,Saint Leo,FL,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,2,5,23
San Francisco Conservatory of Music,San Francisco,CA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,8,2,5,11
San Francisco State University,San Francisco,CA,0.07,1260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15,1,4,11
San Jose State University,San Jose,CA,NA,4644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4-year,36208,18,15,1,4,11
San Mateo County Community College District,San Mateo,CA,NA,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Barbara City College,Santa Barbara,CA,NA,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,13
Santa Clara University,Santa Clara,CA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,55860,5608,National,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,17,14,2,5,12
Santa Monica College,Santa Monica,CA,NA,2104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,1,2,13
Sarah Lawrence College,Bronxville,NY,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,11,2,4,21
Savannah College of Art and Design,Savannah,GA,NA,4083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,16,2,4,12
School of the Art Institute of Chicago,Chicago,IL,NA,1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,2,4,11
School of Visual Arts,New York,NY,NA,2435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,3,4,11
Seattle Central College,Seattle,WA,NA,719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,9,1,2,11
Seattle Pacific University,Seattle,WA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,35646,2702,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,4,11
Shoreline Community College,Shoreline,WA,NA,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,21
Skidmore College,Saratoga Springs,NY,0.09,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,2,23
Soka University of America,Aliso Viejo,CA,0.49,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,3,21
South Dakota School of Mines and Technology,Rapid City,SD,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,11,1,4,13
Southeast Missouri State University,Cape Girardeau,MO,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,1,3,13
Southern Arkansas University - Magnolia,Magnolia,AR,NA,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Utah University,Cedar City,UT,NA,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,1,3,33
St. Cloud State University - St. Cloud,Saint Cloud,MN,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Francis College,Brooklyn Heights,NY,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. John's College (MD),Annapolis,MD,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. John's College (NM),Santa Fe,NM,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Lawrence University,Canton,NY,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Olaf College,Northfield,MN,0.1,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
St. Thomas University,Miami Gardens,FL,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,2,6,21
Suffolk University,Boston,MA,0.15,1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,2,5,11
SUNY Fashion Institute of Technology,New York,NY,NA,841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swarthmore College,Swarthmore,PA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
Sweet Briar College,Sweet Briar,VA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,3,22
Texas Christian University,Fort Worth,TX,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51660,9704,National,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,16,17,2,4,11
The Juilliard School,New York,NY,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,8,2,5,11
The King's College,New York,NY,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,2,11
The Pennsylvania State University,University Park,PA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,1,4-year,89816,15,16,1,4,13
The University of Tampa,Tampa,FL,NA,832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,2,3,11
The University of Texas Health Science Center - Houston,Houston,TX,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thomas Aquinas College,Santa Paula,CA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,8,2,2,42
Trevecca Nazarene University,Nashville,TN,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,26898,2095,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,2,6,11
Trinity College,Hartford,CT,0.13,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,11,2,3,12
Troy University,Troy,AL,NA,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,15,1,4,33
Tufts University-  Boston Health Sciences Campus,Boston,MA,NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union College,Schenectady,NY,0.1,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,20,10,2,4,33
University of California - San Francisco,San Francisco,CA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of California, Merced",Merced,CA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Central Missouri,Warrensburg,MO,NA,1341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,1,4,32
University of Central Oklahoma,Edmond,OK,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,15,1,3,21
University of Charleston,Charleston,WV,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,31400,2115,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,10,2,5,13
University of Colorado/Anschutz Medical Campus,Aurora,CO,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Detroit Mercy,Detroit,MI,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,30154,2633,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,2,5,11
University of Illinois - Springfield,Springfield,IL,NA,733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Indianapolis,Indianapolis,IN,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,33520,4168,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,4,11
University of La Verne,La Verne,CA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,45850,2484,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,2,5,21
University of Maine--Machias,Machias,ME,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Massachusetts Medical School,Worcester,MA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Michigan - Dearborn,Dearborn,MI,NA,1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Nebraska Omaha,Omaha,NE,0.05,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,12,1,6,11
University of New Haven,West Haven,CT,NA,1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,2,4,21
University of North Alabama,Florence,AL,NA,697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,1,4,13
University of North Dakota,Grand Forks,ND,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,15067,9796,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,4,13
University of North Texas Health Science Center,Fort Worth,TX,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,18,1,7,11
University of Richmond,Univ. of Richmond,VA,0.09,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,14,2,4,12
University of Science and Arts of Oklahoma,Chickasha,OK,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,1,2,32
University of St. Thomas (TX),Houston,TX,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Texas - Arlington,Arlington,TX,NA,5065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of the Ozarks,Clarksville,AR,NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,8,2,2,33
University of Toledo,Toledo,OH,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,20818,14406,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,4,11
University of Western States,Portland,OR,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,6,2,6,11
Valencia College,Orlando,FL,NA,1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4-year,45949,14,15,1,2,11
Vassar College,Poughkeepsie,NY,0.08,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
Virginia Tech,Blacksburg,VA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,33253,30020,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walsh University,North Canton,OH,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,2,4,21
Wartburg College,Waverly,IA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,3,32
Washington and Lee University,Lexington,VA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,4,32
Wellesley College,Wellesley,MA,0.14,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
Wesleyan University,Middletown,CT,0.11,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,3,13
Wheaton College (MA),Norton,MA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitman College,Walla Walla,WA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,13
Whittier College,Whittier,CA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,3,21
Wichita State University,Wichita,KS,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,18166,12406,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15,1,4,11
Wilkes University,Wilkes-Barre,PA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,39914,2243,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,5,13
Williams College,Williamstown,MA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,3,31
Wingate University,Wingate,NC,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,40170,2683,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,4,21
