university,city,state,city_population_density,city_population,city_land_area,international_students_natlib,international_students_max,international_students_qs,international_students_opendoors,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_arwu,world_rank_qs,national_rank_arwu,national_rank_kaggle,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,faculty_count_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,total_score_arwu,score_qs
"University of California, Santa Cruz",Santa Cruz,CA,5060,64465,13,0.06,2130,2130,NA,NA,NA,101-150,101,301-400,47-58,NA,public,NA,National,NA,NA,NA,L,1045,18,Very High,0,40.6,29.5,29.9,38.7,0,NA,NA,NA,31.4
University of Texas - Dallas,Richardson,TX,3969,113347,29,NA,8475,4828,8475,NA,NA,NA,NA,401-500,NA,NA,public,NA,NA,NA,NA,NA,L,1140,22,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8
University of Delaware,Newark,DE,NA,NA,NA,0.05,2337,2337,NA,36880,very competitive plus,201-300,201,NA,70-95,96,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,1272,17,Very High,16.1,9.6,10.4,33.3,19,10.2,18420,NA,NA,NA
Georgia State University,Atlanta,GA,3549,472522,133,NA,1756,1756,NA,30114,NA,NA,NA,NA,NA,243,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1281,24,Very High,NA,NA,NA,NA,NA,NA,28772,36360,NA,NA
University of Connecticut,Storrs,CT,NA,NA,NA,0.08,3765,3765,NA,41192,highly competitive,301-400,301,301-400,96-117,66,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,1328,19,Very High,0,0,12.5,37.8,14.5,11.4,18917,NA,NA,29.6
Kansas State University,Manhattan,KS,2931,54983,19,NA,1481,1481,NA,26342,NA,401-500,401,801-1000,118-139,165,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1371,14,Very High,0,0,12.3,31.4,17.7,0,16257,NA,NA,NA
Oklahoma State University,Stillwater,NA,NA,NA,NA,NA,1617,1617,NA,24539,NA,401-500,401,801-1000,118-139,187,public,NA,NA,NA,NA,NA,L,1484,14,Medium High,0,9.6,4.9,30.2,16.6,0,20307,NA,NA,NA
University of Vermont,Burlington,VT,NA,NA,NA,NA,546,546,NA,43890,NA,301-400,301,601-800,96-117,121,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1485,8,Medium High,0,9.6,10.3,27.7,15.7,13.4,11136,NA,NA,NA
Louisiana State University,Baton Rouge,NA,NA,NA,NA,NA,1315,1315,NA,NA,NA,NA,NA,801-1000,NA,NA,public,NA,NA,NA,NA,NA,XL,1490,21,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of California, Riverside",Riverside,NA,NA,NA,NA,NA,2034,2034,NA,NA,NA,151-200,151,401-500,59-69,NA,public,NA,NA,NA,NA,NA,L,1497,17,Very High,0,27.1,16.7,35.5,25.7,12.4,NA,NA,NA,27.9
Auburn University,Auburn,AL,1087,63118,58,NA,2283,2283,NA,31956,NA,NA,NA,801-1000,NA,99,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1507,18,Very High,NA,NA,NA,NA,NA,NA,24505,30737,NA,NA
University at Buffalo SUNY,Buffalo,NY,6362,256902,40,0.13,6161,4409,6161,28194,NA,NA,NA,301-400,NA,94,public,NA,National,NA,NA,NA,L,1530,19,Very High,NA,NA,NA,NA,NA,NA,22306,NA,NA,28.7
Indiana University–Purdue University Indianapolis,Indianapolis,NA,NA,NA,NA,NA,1104,1104,NA,NA,NA,NA,NA,801-1000,NA,NA,public,NA,NA,NA,NA,NA,L,1540,15,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clemson University,Clemson,SC,NA,NA,NA,NA,1418,1418,NA,37712,highly competitive,NA,NA,801-1000,NA,76,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,L,1558,15,Very High,NA,NA,NA,NA,NA,NA,20868,NA,NA,NA
University of Oregon,Eugene,OR,3810,166575,44,0.09,1740,1740,NA,39308,NA,301-400,301,601-800,96-117,101,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1583,13,Very High,0,9.6,11.6,28.4,18.2,8.8,18045,NA,NA,NA
University of Hawaiʻi at Mānoa,Honolulu,NA,NA,NA,NA,NA,1586,1586,NA,NA,NA,NA,NA,301-400,NA,NA,public,NA,NA,NA,NA,NA,L,1640,9,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1
Iowa State University,Ames,IA,2734,66191,24,NA,2441,2441,NA,NA,NA,201-300,201,401-500,70-95,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1656,17,Very High,0,23.5,9.1,42,20.6,0,NA,31822,NA,24.1
The University of Alabama,Tuscaloosa,AL,1653,99543,60,NA,1283,1283,NA,NA,NA,NA,NA,801-1000,NA,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1694,20,Very High,NA,NA,NA,NA,NA,NA,NA,37840,NA,NA
University of Houston,Houston,TX,3842,2303482,600,NA,3049,3049,NA,27110,NA,201-300,201,601-800,70-95,183,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1702,22,Very High,0,13.5,12,40.1,21.5,0,39165,47090,NA,NA
University of Oklahoma,Norman,NA,NA,NA,NA,NA,1418,1418,NA,25116,NA,NA,NA,601-800,NA,135,public,NA,NA,NA,NA,NA,L,1709,14,Very High,NA,NA,NA,NA,NA,NA,21383,NA,NA,NA
Texas Tech University,Lubbock,TX,2063,252506,122,NA,2196,2196,NA,24092,NA,401-500,401,801-1000,118-139,220,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1772,19,Medium High,0,9.6,7,34.4,16.4,0,33269,40322,NA,NA
Washington State University,Pullman,WA,NA,NA,NA,NA,1731,1731,NA,27733,NA,301-400,301,401-500,96-117,186,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,L,1935,14,Very High,0,9.6,8.5,33.1,18.2,0,25470,31159,NA,27
University of Nebraska - Lincoln,Lincoln,NE,3146,280364,89,0.05,2805,2805,NA,NA,NA,201-300,201,501-600,70-95,NA,public,NA,National,NA,NA,NA,L,1953,12,Very High,0,19.2,12.3,37.4,21,16.8,NA,NA,NA,NA
George Mason University,Fairfax,VA,NA,NA,NA,0.05,2737,2737,NA,36579,NA,201-300,201,801-1000,70-95,151,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,2011,15,Very High,31.5,0,6.1,29.5,19.4,0,27105,38541,NA,NA
University of Mississippi,Oxford,MS,NA,NA,NA,NA,628,628,NA,25876,NA,NA,NA,801-1000,NA,161,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,L,2017,10,Very High,NA,NA,NA,NA,NA,NA,16179,NA,NA,NA
University of New Mexico,Albuquerque,NA,NA,NA,NA,NA,870,870,NA,24924,NA,NA,NA,601-800,NA,200,public,NA,NA,NA,NA,NA,L,2119,9,Very High,NA,NA,NA,NA,NA,NA,16124,NA,NA,NA
University of Central Florida,Orlando,FL,2707,277173,102,NA,2562,2562,NA,22467,very competitive plus,301-400,301,NA,96-117,159,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,XL,2146,25,Very High,0,9.6,10.5,33,18,0,61456,71881,NA,NA
Oregon State University,Corvallis,OR,4042,57110,14,NA,2769,2769,NA,32288,NA,151-200,151,NA,59-69,167,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,2147,12,Very High,0,19.2,21.9,38.8,23.8,10.2,26644,32312,NA,NA
University of South Carolina,Columbia,NA,NA,NA,NA,NA,1532,1532,NA,33928,NA,NA,NA,601-800,NA,120,public,NA,NA,NA,NA,NA,XL,2169,15,Very High,NA,NA,NA,NA,NA,NA,27270,NA,NA,NA
University of South Florida,Tampa,FL,3326,377165,113,0.07,5974,5211,5974,17324,very competitive plus,201-300,201,501-600,70-95,115,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,2171,18,Very High,0,16.6,9.5,39.2,18.2,0,38579,50626,NA,NA
Florida International University,Miami,FL,12645,453579,36,0.07,3575,3575,NA,18964,NA,401-500,401,801-1000,118-139,163,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,XL,2221,16,Medium High,0,9.6,6.6,32.1,17.3,0,48664,58836,NA,NA
Florida State University,Tallahassee,FL,1904,190894,100,NA,1618,1618,NA,21683,NA,201-300,201,401-500,70-95,55,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,2236,17,Very High,0,13.5,15.3,39.3,20.2,0,32543,43569,NA,25
University of Kentucky,Lexington,KY,1123,318449,284,NA,1294,1294,NA,31608,NA,301-400,301,601-800,96-117,134,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,2239,12,Very High,0,0,12.1,41.8,17.7,10.2,22227,29986,NA,NA
SUNY Stony Brook University,Stony Brook,NY,NA,NA,NA,0.1,6198,6198,4834,28080,NA,NA,NA,301-400,NA,93,public,NA,National,NA,NA,NA,L,2316,11,Very High,NA,NA,NA,NA,NA,NA,18010,NA,NA,29.4
The University of Georgia,Athens,NA,NA,NA,NA,NA,1879,1879,NA,NA,NA,201-300,201,501-600,70-95,NA,public,NA,NA,NA,NA,NA,XL,2406,15,Very High,0,13.5,17.6,44.8,18.3,0,NA,NA,NA,NA
"University of Missouri, Columbia",Columbia,MO,1912,120612,63,NA,1273,1273,NA,NA,NA,NA,NA,401-500,NA,NA,public,NA,NA,NA,NA,NA,L,2600,10,Very High,NA,NA,NA,NA,NA,NA,NA,31089,NA,24.9
Wayne State University,Detroit,MI,4849,672795,139,NA,1278,1278,NA,32727,NA,401-500,401,501-600,118-139,261,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,2699,8,Very High,0,9.6,5.4,36.6,15.3,0,17513,NA,NA,NA
University of Cincinnati,Cincinnati,OH,3834,298800,78,0.05,2800,2800,NA,27472,NA,301-400,301,601-800,96-117,160,public,NA,National,NA,NA,NA,XL,2756,11,Very High,0,9.6,10.7,41,15.1,0,28657,NA,NA,NA
Temple University,Philadelphia,PA,11692,1567872,134,NA,2097,2097,NA,34801,NA,301-400,301,NA,96-117,110,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,2767,12,Very High,0,9.6,11,37.3,13.3,0,27306,37236,NA,NA
Virginia Commonwealth University,Richmond,VA,3731,223170,60,NA,995,995,NA,35676,NA,201-300,201,601-800,70-95,178,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,2771,9,Very High,13.9,16.6,5.7,36.9,15.5,10.2,21943,29070,NA,NA
Virginia Polytechnic Institute and State University,Blacksburg,VA,NA,NA,NA,NA,4477,4477,NA,NA,highly competitive,201-300,201,301-400,70-95,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,2802,12,Very High,0,9.6,12.2,43.9,18.5,11.4,NA,37024,NA,31.6
University of Iowa,Iowa City,IA,2975,74398,25,NA,2049,2049,NA,31569,NA,151-200,151,401-500,59-69,92,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,2924,10,Very High,0,19.2,14.8,46.9,17.8,0,22304,30318,NA,25.7
Colorado State University,Fort Collins,NA,NA,NA,NA,NA,1547,1547,NA,31540,NA,201-300,201,401-500,70-95,148,public,NA,NA,NA,NA,NA,L,3115,8,Very High,0,9.6,16.9,38.9,19.5,0,25186,NA,NA,26.8
University of Utah,Salt Lake City,UT,1744,193744,111,0.06,2134,2134,NA,31389,NA,101-150,101,301-400,47-58,102,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,3345,8,Very High,11.4,19.2,24.6,51.6,28.3,0,24643,33081,NA,30.9
University of Kansas,Lawrence,KS,2841,95358,34,NA,2014,2014,NA,28034,NA,201-300,201,301-400,70-95,125,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,3357,7,Very High,0,13.5,11.2,41.9,16.3,17.6,19135,NA,NA,28.8
University of Colorado Denver,Denver,CO,4530,693060,153,0.09,1274,1274,NA,32820,NA,NA,NA,401-500,NA,234,public,NA,National,NA,NA,NA,L,5319,3,Very High,NA,NA,NA,NA,NA,NA,14995,NA,NA,27.4
City University of New York,New York City,NA,NA,NA,NA,NA,6462,6462,NA,NA,NA,NA,NA,601-800,NA,NA,public,NA,NA,NA,NA,NA,XL,7782,16,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri University of Science and Technology,Rolla,MO,NA,NA,NA,NA,557,557,NA,31286,very competitive plus,NA,NA,501-600,NA,179,public,Four-year (median),NA,Doctoral Universities,Majority undergraduate,town or rural,M,369,18,Very High,NA,NA,NA,NA,NA,NA,6086,NA,NA,NA
Indiana State University,Terre Haute,IN,1762,60852,35,NA,340,340,NA,20570,NA,NA,NA,1001-1200,NA,320,public,Four-year (median),NA,Doctoral Universities,Majority undergraduate,city,M,537,18,Medium High,NA,NA,NA,NA,NA,NA,8939,NA,NA,NA
Colorado School of Mines,Golden,CO,NA,NA,NA,NA,627,627,NA,39800,highly competitive,NA,NA,401-500,NA,84,public,Four-year (median),NA,Doctoral Universities,Majority undergraduate,suburb,M,544,11,Very High,NA,NA,NA,NA,NA,NA,5216,NA,NA,25.4
Michigan Technological University,Houghton,MI,NA,NA,NA,NA,694,694,NA,38112,NA,NA,NA,601-800,NA,152,public,Four-year (median),NA,Doctoral Universities,Majority undergraduate,town or rural,M,562,12,Very High,NA,NA,NA,NA,NA,NA,5642,NA,NA,NA
New Jersey Institute of Technology,Newark,NJ,11648,281764,24,0.06,2874,2874,NA,33386,NA,NA,NA,601-800,NA,108,public,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,M,629,14,Very High,NA,NA,NA,NA,NA,NA,9084,NA,NA,NA
University of Montana Missoula,Missoula,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,NA,NA,NA,NA,NA,M,648,14,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rutgers University--Newark,Newark,NJ,11648,281764,24,0.07,1246,1246,NA,32409,NA,NA,NA,801-1000,NA,130,public,NA,National,NA,NA,NA,M,764,14,Medium High,NA,NA,NA,NA,NA,NA,9118,NA,NA,NA
College of William and Mary,Williamsburg,VA,NA,NA,NA,0.05,729,729,NA,46467,most competitive,NA,NA,601-800,NA,41,public,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,M,814,10,Very High,NA,NA,NA,NA,NA,NA,6236,NA,NA,NA
University at Albany SUNY,Albany,NA,NA,NA,NA,NA,1216,1216,NA,NA,NA,NA,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,L,821,19,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Maryland - Baltimore,Baltimore,MD,7594,614664,81,NA,1074,1074,285,NA,NA,NA,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,M,834,14,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Massachusetts Boston,Boston,MA,13943,673184,48,0.06,1527,1527,NA,35139,NA,NA,NA,601-800,NA,235,public,NA,National,NA,NA,NA,L,838,15,Very High,NA,NA,NA,NA,NA,NA,12871,NA,NA,NA
"University of Missouri, Kansas City",Kansas City,NA,NA,NA,NA,NA,817,817,NA,NA,NA,NA,NA,801-1000,NA,NA,public,NA,NA,NA,NA,NA,M,841,12,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Binghamton University SUNY,Binghamton,NA,NA,NA,NA,NA,1833,1833,NA,NA,NA,NA,NA,801-1000,NA,NA,public,NA,NA,NA,NA,NA,L,849,20,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of New Hampshire,Durham,NA,NA,NA,NA,NA,768,768,NA,37202,NA,NA,NA,801-1000,NA,143,public,NA,NA,NA,NA,NA,L,862,17,Very High,NA,NA,NA,NA,NA,NA,11747,NA,NA,NA
University of Wyoming,Laramie,WY,NA,NA,NA,NA,564,564,NA,20647,NA,401-500,401,801-1000,118-139,201,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,M,904,12,Very High,0,9.6,11.3,24.1,17.9,0,9342,NA,NA,NA
University of Rhode Island,Kingston,RI,NA,NA,NA,NA,417,417,NA,33354,NA,NA,NA,1001-1200,NA,171,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,L,910,17,Medium High,NA,NA,NA,NA,NA,NA,14073,NA,NA,NA
University of Texas El Paso,El Paso,NA,NA,NA,NA,NA,1351,1351,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,NA,NA,NA,NA,NA,L,922,20,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of South Alabama (USA),Mobile,NA,NA,NA,NA,NA,287,287,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,NA,NA,NA,NA,NA,L,939,13,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah State University,Logan,UT,2825,50676,18,NA,331,331,NA,23434,NA,401-500,401,1001-1200,118-139,260,public,Four-year (large),NA,Doctoral Universities,Exclusive/Very high undergraduate,city,L,1053,19,Very High,0,9.6,8.4,26.4,16.8,13.4,24647,27691,NA,NA
Miami University,Oxford,OH,NA,NA,NA,NA,2260,2260,NA,NA,very competitive plus,NA,NA,1001-1200,NA,NA,public,NA,NA,NA,NA,NA,L,1062,17,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland State University,Portland,OR,4795,639863,133,NA,1230,1230,NA,23769,NA,NA,NA,1001-1200,NA,294,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1091,17,Very High,NA,NA,NA,NA,NA,NA,18959,NA,NA,NA
Mississippi State University,Starkville,MS,NA,NA,NA,NA,730,730,NA,24900,NA,401-500,401,1001-1200,118-139,198,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,L,1103,18,Very High,0,13.5,5.1,25,15.9,0,18803,NA,NA,NA
Florida Atlantic University - Boca Raton,Boca Raton,NA,NA,NA,NA,NA,998,998,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,NA,NA,NA,NA,NA,L,1139,19,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Michigan University,Kalamazoo,MI,3079,75984,25,0.06,1664,1664,NA,17591,NA,NA,NA,1001-1200,NA,276,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1144,16,Medium High,NA,NA,NA,NA,NA,NA,16554,NA,NA,NA
Northern Arizona University,Flagstaff,AZ,1119,71459,64,NA,1162,1162,NA,26642,NA,NA,NA,1001-1200,NA,293,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1158,22,Medium High,NA,NA,NA,NA,NA,NA,25230,29566,NA,NA
Ohio University,Athens,NA,NA,NA,NA,NA,977,977,NA,22810,NA,NA,NA,1001-1200,NA,181,public,NA,NA,NA,NA,NA,L,1169,20,Medium High,NA,NA,NA,NA,NA,NA,18913,NA,NA,NA
University of Texas at San Antonio,San Antonio,NA,NA,NA,NA,NA,775,775,NA,25920,NA,NA,NA,801-1000,NA,375,public,NA,NA,NA,NA,NA,L,1182,22,Very High,NA,NA,NA,NA,NA,NA,29959,NA,NA,NA
Kent State University,Kent,NA,NA,NA,NA,NA,1465,1465,NA,20800,NA,401-500,401,1001-1200,118-139,216,public,NA,NA,NA,NA,NA,L,1252,19,Very High,0,13.5,9.3,24,15.6,0,21621,NA,NA,NA
San Diego State University,San Diego,CA,4326,1406630,325,0.05,2092,2092,NA,20016,NA,NA,NA,1001-1200,NA,155,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,1262,25,Very High,NA,NA,NA,NA,NA,NA,31086,36334,NA,NA
Georgia Institute of Technology,Atlanta,GA,3549,472522,133,0.11,5675,5675,5657,33794,NA,51-100,79,51-100,38,38,public,NA,National,NA,NA,NA,L,1267,19,Very High,0,38.3,24.6,46.6,38,12.4,16561,NA,27.5,63.5
University of North Carolina at Charlotte,Charlotte,NC,2829,842051,298,NA,1661,1661,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1303,19,Very High,NA,NA,NA,NA,NA,NA,NA,30146,NA,NA
University of Wisconsin Milwaukee,Milwaukee,NA,NA,NA,NA,NA,1067,1067,NA,NA,NA,NA,NA,801-1000,NA,NA,public,NA,NA,NA,NA,NA,L,1336,16,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Arkansas Fayetteville,Fayetteville,NA,NA,NA,NA,NA,1134,1134,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,NA,NA,NA,NA,NA,L,1364,18,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of North Texas,Denton,TX,1521,133808,88,0.05,2420,2420,NA,24234,NA,301-400,301,1001-1200,96-117,287,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,1395,23,Medium High,0,19.2,4.6,27.8,19,0,32694,40953,NA,NA
The University of Texas at Arlington,Arlington,TX,4096,392772,96,NA,4106,4106,NA,NA,NA,NA,NA,1001-1200,NA,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1481,22,Very High,NA,NA,NA,NA,NA,NA,NA,48072,NA,NA
"University of California, Santa Barbara",Santa Barbara,CA,4722,91930,19,0.11,4309,4309,NA,NA,NA,21-50,46,101-150,29,NA,public,NA,National,NA,NA,NA,L,1597,16,Very High,38.6,30.3,28.7,40.1,37.5,14.4,NA,NA,33.4,51.2
West Virginia University,Morgantown,WV,NA,NA,NA,NA,1807,1807,NA,25320,NA,401-500,401,801-1000,118-139,262,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1605,15,Very High,0,9.6,8,31.5,11.9,0,21086,NA,NA,NA
"The University of Tennessee, Knoxville",Knoxville,TN,1890,186239,99,NA,1156,1156,NA,NA,NA,NA,NA,501-600,NA,NA,public,NA,NA,NA,NA,NA,XL,1700,17,Medium High,NA,NA,NA,NA,NA,NA,NA,30559,NA,NA
University of Massachusetts Amherst,Amherst,MA,NA,NA,NA,0.07,3696,3696,NA,36964,NA,151-200,151,201-300,59-69,72,public,NA,National,NA,NA,NA,L,1852,14,Very High,0,25.3,15.7,38.5,23.2,13.4,24233,NA,NA,38.8
North Carolina State University,Raleigh,NC,3211,458880,143,NA,5008,3156,5008,29916,NA,NA,NA,201-300,NA,82,public,NA,NA,NA,NA,NA,L,1944,15,Very High,NA,NA,NA,NA,NA,NA,26150,NA,NA,34.7
